age length
11 273
13 280
12 275
13 276
7 266
3 218
6 265
8 273
11 280
15 269
1 112
3 214
11 276
1 113
6 261
7 263
6 265
7 272
4 242
14 271
7 268
6 261
15 272
11 281
10 277
6 265
11 276
9 270
4 242
8 273
12 276
1 113
4 240
11 281
6 265
6 268
13 277
14 274
10 275
3 219
12 272
7 266
14 280
12 273
5 252
5 256
2 177
2 182
2 177
10 272
15 276
13 272
5 256
4 237
11 274
8 269
11 273
2 181
7 267
4 241
12 271
5 251
15 278
12 278
15 275
4 239
14 275
3 219
9 278
14 275
11 278
8 274
6 264
6 267
2 177
10 270
14 270
10 277
8 265
3 215
13 279
8 273
1 112
1 110
3 223
5 252
13 272
8 273
12 275
2 177
14 272
12 271
2 177
9 268
11 274
8 272
11 270
11 276
2 179
7 268
