age sex length
7 M 36.4
7 M 40.4
3 F 21.6
6 F 29.4
3 M 25
2 M 18.1
2 M 18.9
6 F 31.3
3 M 25.5
5 F 27.7
4 F 25
6 F 26.3
6 F 30.8
1 F 9.8
2 F 18.3
3 F 24.6
8 M 35.5
5 F 28.7
3 F 22.1
3 F 20.7
1 M 10.1
4 F 23.6
1 F 10.3
1 F 9.8
5 M 33.8
3 F 24.8
8 F 28.8
2 M 19.7
7 F 31.2
2 M 19.3
1 F 10
6 M 34.8
3 M 24.6
4 M 30.2
6 M 34.4
1 M 11.4
3 M 24.5
7 M 38.8
5 F 26.3
4 F 24
7 F 35.3
8 M 37.4
2 F 17.9
5 M 33.7
7 M 36
1 F 10.8
1 M 11.1
2 F 17.4
7 F 30.2
3 F 22.3
4 F 28.4
5 M 31.4
7 M 34.9
5 M 32.7
3 F 22.7
8 F 31.4
6 F 28.4
1 F 10
2 M 20.2
5 M 32.1
5 M 31.2
8 M 37.7
4 F 25.3
7 F 31.8
5 M 32.8
2 M 19.7
1 F 10.3
1 F 10.7
3 M 24.5
1 M 10.9
6 F 27.8
5 F 25.9
7 M 40.7
1 M 11.2
7 F 28.2
2 M 18.4
4 F 24.1
7 F 33.5
8 F 32.8
4 F 25.2
6 M 36
6 F 28.5
3 F 21.8
8 F 29.5
6 M 34
6 F 31.6
7 F 30
7 F 30.2
8 M 38.7
1 M 11.6
6 F 28.4
2 F 16.8
1 F 11.5
2 F 17.2
4 M 28.3
5 F 26
5 M 30.6
6 F 28.3
7 M 38
3 M 26.3
1 M 11.3
4 F 25.1
6 F 29.2
1 M 10.5
8 M 36.8
6 F 30.4
1 M 10.3
7 M 40.6
3 F 22.3
8 F 31
8 M 36.8
6 F 28.3
4 F 23.9
7 F 29.8
1 F 10.8
6 F 29.6
6 M 33.7
8 M 36.7
3 F 21.8
6 M 37.8
5 F 26.1
8 M 37.8
7 M 40.5
