ssb    logR
136650 13.22
150340 13.32
188240 13.21
210350 13.17
239390 13.55
255950 12.86
249430 13.58
259650 13.33
268300 13.35
242970 13.11
213260 13.28
227870 13.89
211000 13.42
181600 13.38
156780 12.91
157780 13.38
159430 12.88
174690 13.1
188650 13.58
189440 13.34
154600 13.36
129290 13.45
120930 12.77
113150 12.45
105380 12.39
98576 13.36
93093 12.64
77977 12.83
70771 12.76
67379 12.48
64748 12.75
69805 13.22
80186 13.28
78796 13.14
75325 12.7
61501 12.61
56104 12.29
47022 11.74
39408 12.62
41458 12.14
36851 12.37
32716 11.21
31164 11.56
27362 12.05
33775 12.21
39558 12.53
